year,age,zero,one,two,three,four
1984.0,22,0.8080808080808081,0.13131313131313133,0.050505050505050504,0.010101010101010102,0.0
1984.0,22,0.8080808080808081,0.13131313131313133,0.050505050505050504,0.010101010101010102,0.0
1985.0,22,0.81,0.13,0.05,0.01,0.0
1986.0,22,0.8080808080808081,0.13131313131313133,0.050505050505050504,0.010101010101010102,0.0
1987.0,22,0.8080808080808081,0.13131313131313133,0.050505050505050504,0.010101010101010102,0.0
1988.0,22,0.81,0.13,0.05,0.01,0.0
1989.0,22,0.81,0.13,0.05,0.01,0.0
1989.0,22,0.81,0.13,0.05,0.01,0.0
1990.0,22,0.8118811881188119,0.12871287128712872,0.04950495049504951,0.009900990099009901,0.0
1991.0,22,0.83,0.11,0.05,0.01,0.0
1992.0,22,0.8484848484848485,0.10101010101010101,0.04040404040404041,0.010101010101010102,0.0
1993.0,22,0.8514851485148515,0.09900990099009901,0.039603960396039604,0.009900990099009901,0.0
1994.0,22,0.8613861386138614,0.0891089108910891,0.039603960396039604,0.009900990099009901,0.0
1994.0,22,0.8613861386138614,0.0891089108910891,0.039603960396039604,0.009900990099009901,0.0
1995.0,22,0.87,0.08,0.04,0.01,0.0
1996.0,22,0.88,0.08,0.03,0.01,0.0
1997.0,22,0.89,0.08,0.03,0.0,0.0
1998.0,22,0.89,0.08,0.03,0.0,0.0
1998.0,22,0.89,0.08,0.03,0.0,0.0
1920.0,23,0.75,0.19,0.05,0.01,0.0
1921.0,23,0.74,0.2,0.05,0.01,0.0
1922.0,23,0.7373737373737373,0.20202020202020202,0.050505050505050504,0.010101010101010102,0.0
1923.0,23,0.73,0.21,0.05,0.01,0.0
1924.0,23,0.72,0.22,0.05,0.01,0.0
1924.0,23,0.72,0.22,0.05,0.01,0.0
1925.0,23,0.69,0.24,0.06,0.01,0.0
1926.0,23,0.68,0.25,0.06,0.01,0.0
1927.0,23,0.6767676767676768,0.24242424242424243,0.0707070707070707,0.010101010101010102,0.0
1928.0,23,0.6767676767676768,0.24242424242424243,0.0707070707070707,0.010101010101010102,0.0
1929.0,23,0.68,0.23,0.07,0.02,0.0
1929.0,23,0.68,0.23,0.07,0.02,0.0
1930.0,23,0.6767676767676768,0.23232323232323232,0.0707070707070707,0.020202020202020204,0.0
1931.0,23,0.6767676767676768,0.23232323232323232,0.0707070707070707,0.020202020202020204,0.0
1932.0,23,0.67,0.23,0.08,0.02,0.0
1933.0,23,0.66,0.24,0.08,0.02,0.0
1934.0,23,0.6565656565656566,0.24242424242424243,0.08080808080808081,0.020202020202020204,0.0
1934.0,23,0.6565656565656566,0.24242424242424243,0.08080808080808081,0.020202020202020204,0.0
1935.0,23,0.6336633663366337,0.24752475247524752,0.0891089108910891,0.019801980198019802,0.009900990099009901
1936.0,23,0.63,0.25,0.09,0.02,0.01
1937.0,23,0.62,0.25,0.1,0.02,0.01
1938.0,23,0.6039603960396039,0.24752475247524752,0.10891089108910891,0.0297029702970297,0.009900990099009901
1939.0,23,0.6,0.25,0.11,0.03,0.01
1939.0,23,0.6,0.25,0.11,0.03,0.01
1940.0,23,0.58,0.26,0.12,0.03,0.01
1941.0,23,0.5643564356435643,0.25742574257425743,0.12871287128712872,0.039603960396039604,0.009900990099009901
1942.0,23,0.57,0.25,0.13,0.04,0.01
1943.0,23,0.57,0.25,0.13,0.04,0.01
1944.0,23,0.5643564356435643,0.24752475247524752,0.13861386138613863,0.039603960396039604,0.009900990099009901
1944.0,23,0.5643564356435643,0.24752475247524752,0.13861386138613863,0.039603960396039604,0.009900990099009901
1945.0,23,0.56,0.25,0.14,0.04,0.01
1946.0,23,0.56,0.25,0.14,0.04,0.01
1947.0,23,0.58,0.24,0.14,0.03,0.01
1948.0,23,0.5742574257425742,0.2376237623762376,0.13861386138613863,0.039603960396039604,0.009900990099009901
1949.0,23,0.59,0.23,0.14,0.03,0.01
1949.0,23,0.59,0.23,0.14,0.03,0.01
1950.0,23,0.59,0.23,0.14,0.03,0.01
1951.0,23,0.6,0.22,0.14,0.03,0.01
1952.0,23,0.6039603960396039,0.21782178217821782,0.13861386138613863,0.0297029702970297,0.009900990099009901
1953.0,23,0.62,0.21,0.13,0.03,0.01
1954.0,23,0.6435643564356436,0.19801980198019803,0.12871287128712872,0.0297029702970297,0.0
1954.0,23,0.6435643564356436,0.19801980198019803,0.12871287128712872,0.0297029702970297,0.0
1955.0,23,0.6666666666666666,0.1919191919191919,0.12121212121212122,0.020202020202020204,0.0
1956.0,23,0.6868686868686869,0.18181818181818182,0.1111111111111111,0.020202020202020204,0.0
1957.0,23,0.6868686868686869,0.18181818181818182,0.1111111111111111,0.020202020202020204,0.0
1958.0,23,0.696969696969697,0.18181818181818182,0.10101010101010101,0.020202020202020204,0.0
1959.0,23,0.71,0.17,0.1,0.02,0.0
1959.0,23,0.71,0.17,0.1,0.02,0.0
1960.0,23,0.7171717171717171,0.16161616161616163,0.10101010101010101,0.020202020202020204,0.0
1961.0,23,0.7272727272727273,0.16161616161616163,0.09090909090909091,0.020202020202020204,0.0
1962.0,23,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1963.0,23,0.7474747474747475,0.15151515151515152,0.08080808080808081,0.020202020202020204,0.0
1964.0,23,0.75,0.15,0.08,0.02,0.0
1964.0,23,0.75,0.15,0.08,0.02,0.0
1965.0,23,0.75,0.15,0.08,0.02,0.0
1966.0,23,0.75,0.15,0.08,0.02,0.0
1967.0,23,0.74,0.16,0.08,0.02,0.0
1968.0,23,0.7373737373737373,0.16161616161616163,0.08080808080808081,0.020202020202020204,0.0
1969.0,23,0.7373737373737373,0.16161616161616163,0.08080808080808081,0.020202020202020204,0.0
1969.0,23,0.7373737373737373,0.16161616161616163,0.08080808080808081,0.020202020202020204,0.0
1970.0,23,0.7326732673267327,0.16831683168316833,0.07920792079207921,0.019801980198019802,0.0
