year,age,one,two,three,four
2012.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2013.0,20,0.875,0.12500000000000003,0.0,0.0
2014.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
2014.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
2015.0,20,0.7142857142857143,0.2857142857142857,0.0,0.0
2016.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
2017.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2018.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2019.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2019.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2020.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
2020.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
1941.0,21,0.8181818181818181,0.18181818181818182,0.0,0.0
